game_language,model,game,experiment,instance,author_role,agentive_persons,user_mentioned,player_count,role_awareness,loops,frustration,confusion,excitement,trace_language_count,suspects_deception,intends_deception,main_score,response_rate,aborted,lose,success,thinking_length,response_length,ratio_thinking_response
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_negotiation_hard,00004,1.0,1.0,0.0,2.0,1.0,0.0,0.4,2.6,0.4,1.0,0.0,0.2,0.0,1.0,1,0,0,37880,1889,0.04986800422386484
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_reasoning off_hard,00005,1.0,1.6,0.0,2.0,1.0,0.2,2.6,4.4,0.2,1.0,0.0,0.0,0.0,1.0,1,0,0,32160,715,0.022232587064676616
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_negotiation_easy,00004,1.0,1.0,0.6,2.0,1.0,0.2,0.6,3.0,0.6,1.0,0.0,0.0,0.0,1.0,1,0,0,30715,1607,0.052319713495034996
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_reasoning off_easy,00005,1.0,0.8,0.6,1.8,0.8,0.2,1.0,3.4,0.2,1.0,0.0,0.0,0.0,1.0,1,0,0,32246,1053,0.03265521304968058
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_complexity_hard,00003,0.4,1.6,0.6,2.0,0.4,0.2,0.8,1.8,0.6,1.0,0.0,0.2,0.0,1.0,1,0,0,14289,2410,0.1686612079221779
en,deepseek-r1-distill-llama-70b-t1.0,hot_air_balloon,air_balloon_survival_en_complexity_easy,00004,0.4,1.0,0.6,1.4,0.4,0.2,0.6,1.8,1.0,1.0,0.0,0.2,0.0,1.0,1,0,0,29659,2227,0.07508682018948717
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,0_easy_3obj_en,00002,0.6493506493506493,1.474025974025974,0.3116883116883117,1.9610389610389611,0.6493506493506493,0.2857142857142857,1.5389610389610389,3.7467532467532467,0.16233766233766234,1.0,0.0,0.0,0.0,1.0,1,1,0,106560,2441,0.022907282282282282
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,0_easy_5obj_en,00001,0.9282511210762332,1.1121076233183858,0.07174887892376682,2.0,0.9282511210762332,0.28699551569506726,1.5739910313901346,3.376681614349776,0.11659192825112108,1.0,0.0,0.0,0.0,1.0,1,1,0,124912,3546,0.028387985141539646
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,0_easy_7obj_en,00000,0.875,1.215625,0.10625,1.946875,0.815625,0.1375,1.346875,3.459375,0.053125,1.0,0.0,0.0,0.0,1.0,1,1,0,130852,4512,0.034481704521138384
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,1_medium_3obj_en,00002,0.8590604026845637,1.1543624161073827,0.087248322147651,1.9463087248322148,0.8590604026845637,0.2953020134228188,1.5100671140939597,2.7651006711409396,0.040268456375838924,1.0,0.0,0.0,0.0,1.0,1,1,0,45842,1310,0.028576414641595042
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,1_medium_5obj_en,00002,0.8205128205128205,1.5025641025641026,0.1794871794871795,1.9743589743589745,0.8205128205128205,0.24615384615384617,3.194871794871795,3.5846153846153848,0.035897435897435895,1.0,0.0,0.0,0.0,1.0,1,1,0,41475,1560,0.037613019891500905
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,1_medium_7obj_en,00001,0.7644110275689223,1.2882205513784462,0.3107769423558897,1.9047619047619047,0.7418546365914787,0.3483709273182957,2.7092731829573933,4.651629072681704,0.11528822055137844,1.0,0.0,0.0,0.0,1.0,1,1,0,102903,2141,0.020806001768655918
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,2_hard_3obj_en,00001,0.9533678756476683,1.0569948186528497,0.031088082901554404,1.8238341968911918,0.7927461139896373,0.29015544041450775,2.2176165803108807,4.963730569948186,0.22797927461139897,1.0,0.0,0.0,0.0,1.0,1,1,0,78028,1357,0.017391192905110986
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,2_hard_7obj_en,00001,0.7941888619854721,1.1380145278450364,0.20581113801452786,1.8401937046004844,0.7239709443099274,0.35351089588377727,2.164648910411622,3.3365617433414045,0.2857142857142857,1.0,0.0,0.0,0.0,0.9642857142857143,1,1,0,99296,2271,0.02287101192394457
en,deepseek-r1-distill-llama-70b-t1.0,clean_up,2_hard_5obj_en,00002,0.9343434343434344,1.2373737373737375,0.06565656565656566,2.0303030303030303,0.9343434343434344,0.48484848484848486,2.98989898989899,6.338383838383838,0.5505050505050505,1.0,0.0,0.010101010101010102,0.0,1.0,1,1,0,134552,3558,0.026443308163386647
en,deepseek-r1-distill-llama-70b-t1.0,dond,coop_en,00018,1.0,1.0,0.0,2.0,1.0,0.5416666666666666,1.25,4.875,0.125,1.0,0.0,0.0,83.33333333333334,1.0,0,0,1,33307,767,0.023028192271894798
en,deepseek-r1-distill-llama-70b-t1.0,dond,coop_en,00016,1.0,1.0,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,4.666666666666667,1.0,1.0,0.6666666666666666,0.0,70.58823529411764,1.0,0,0,1,10299,40,0.0038838722206039423
